output_0,output_1,output_2,output_3,output_4,output_5,output_6,output_7
0.16012484,0.05138092,-0.12501952,0.1605777,0.20916149,-0.15440443,0.12158908,-0.23551174
0.0015417804,0.11753354,-0.010575017,-0.10885612,-0.036972683,0.12537172,0.074305646,-0.09534074
-0.03612745,0.15052651,0.31502402,0.22905122,0.45408276,-0.16325471,-0.09047638,0.15257715
0.28332648,0.0998409,0.069178246,-0.010759446,-0.08270543,0.2615608,0.06203594,0.13066062
-0.10536079,-0.27914184,0.14402558,-0.26246092,-0.07311458,0.15703624,-0.289524,-0.16399945
-0.10657628,-0.31878397,0.060239,-0.08615892,0.13411595,0.020116575,-0.34667537,0.32466108
-0.041545946,-0.76754427,0.08786221,0.050900474,0.76886594,-0.9893299,0.4564169,-0.33277854
0.26046833,0.061755355,0.028229868,0.03925151,-0.16391958,-0.2713862,0.06461839,-0.055633496
-0.04743825,-0.1705886,0.00031130167,-0.13285516,0.18934456,0.14358969,0.13023326,0.046216883
0.034443878,-0.1823931,-0.18984187,-0.07555504,-0.19228159,0.38226074,0.024919812,0.20174669
0.07830828,-0.076349996,-0.1639562,-0.15014493,0.17807178,0.1603372,-0.09693071,-0.017605724
0.22286184,-0.20199846,-0.08394407,0.06589076,-0.0814958,-0.055302452,0.06919908,0.2448376
-0.021543583,-0.009412501,-0.04230632,0.022168305,0.042613793,-0.034063272,-0.15662895,0.23898627
0.048117608,-0.47024804,-0.0016344099,0.22454612,-0.37560096,-0.2546107,-0.10512335,-0.14046884
-0.37223482,0.24238454,-0.056314968,0.71644753,-0.10012552,-0.14710687,0.14211327,-0.3231801
-0.106303394,0.11438531,-0.05901985,-0.21087243,0.08595279,-0.15289375,-0.1597112,-0.003056589
-0.31409293,0.021663625,-0.2798994,0.102806844,-0.30824944,-0.010388978,0.054892115,-0.079936564
0.10605272,-0.6013906,-0.19148873,0.30100778,0.080489084,-0.2400664,0.20321076,0.004142427
-0.25622576,-0.18308036,-0.11178628,-0.15626033,0.053696405,0.13280286,0.21732818,0.12596779
0.05832156,0.011289786,-0.22425723,0.024594832,0.05354644,0.57178795,-0.69100976,0.44650763
0.022149295,-0.14181596,-0.10045729,-0.06659695,0.18742025,0.10351863,-0.004116161,-0.18116245
-0.3864772,-0.04305023,0.06112776,-0.5203991,0.1539774,0.08585458,0.21917106,0.18184946
-0.3169068,-0.13306132,0.0011511294,-0.32763174,0.101987936,0.07318936,-0.34932604,0.13786069
0.017949985,-0.026947241,-0.28872815,-0.07209345,0.20438504,-0.06997713,-0.13864003,-0.13876209
0.02575639,-0.116368935,-0.019031921,0.1361061,0.233633,-0.20135053,0.065302104,0.10919561
-0.41652927,0.18516399,0.12391386,-0.014416943,-0.052923203,0.0471351,0.046614707,0.07520863
0.014456547,-0.27109784,-0.36901426,0.20013753,0.048687305,-0.18689123,0.20198335,-0.35539442
